Symbol,Company Name,Industry,Current Price,Bound,Result Date,Days to Result,Trade Type,Sell @,Sell Premium,Max Profit (₹),Max Profit (%),POP (%),Margin,Upcoming Events,Past Events,News
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,131.49,96,2026-05-20,0.0,PE,118.0,0.47,2890,2.43,90.26,118856.4375,No upcoming events found.,No upcoming events found.,No news found.
ADANIENSOL,Adani Energy Solutions Ltd.,Power,1329.5,929,2026-04-23,-27.0,PE,1140.0,4.16,2809,0.87,96.54,321391.9625,No upcoming events found.,No upcoming events found.,No news found.
ADANIPOWER,Adani Power Ltd.,Power,219.09,197,2026-04-29,-21.0,CE,252.5,0.79,2795,2.45,93.43,114046.025,No upcoming events found.,No upcoming events found.,No news found.
ADANIPOWER,Adani Power Ltd.,Power,219.09,154,2026-04-29,-21.0,PE,172.5,0.78,2777,2.89,98.45,96047.525,No upcoming events found.,No upcoming events found.,No news found.
ADANIENSOL,Adani Energy Solutions Ltd.,Power,1329.5,966,2026-04-23,-27.0,CE,1520.0,4.11,2775,0.85,94.02,325204.9625,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1377.8,906,2026-04-24,-26.0,PE,1160.0,4.56,2737,2.02,96.61,135813.0,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1377.8,952,2026-04-24,-26.0,CE,1570.0,4.53,2715,1.94,93.1,140265.0,No upcoming events found.,No upcoming events found.,No news found.
ADANIPOWER,Adani Power Ltd.,Power,219.09,197,2026-04-29,-21.0,CE,262.5,0.75,2671,2.6,96.54,102579.025,No upcoming events found.,No upcoming events found.,No news found.
ADANIPOWER,Adani Power Ltd.,Power,219.09,154,2026-04-29,-21.0,PE,175.0,0.75,2671,2.69,97.48,99135.525,No upcoming events found.,No upcoming events found.,No news found.
CANBK,Canara Bank,Financial Services,126.15,119,2026-05-11,-9.0,PE,112.0,0.39,2598,2.57,96.91,101193.125,No upcoming events found.,No upcoming events found.,No news found.
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,37130.0,32152,2026-05-20,0.0,CE,41000.0,103.61,2590,2.56,92.4,101310.375,No upcoming events found.,No upcoming events found.,No news found.
BANKBARODA,Bank of Baroda,Financial Services,260.6,269,2026-05-08,-12.0,CE,287.5,0.88,2559,2.99,96.62,85707.11875,No upcoming events found.,No upcoming events found.,No news found.
ADANIPOWER,Adani Power Ltd.,Power,219.09,197,2026-04-29,-21.0,CE,250.0,0.72,2547,2.13,93.35,119513.025,No upcoming events found.,No upcoming events found.,No news found.
ADANIENSOL,Adani Energy Solutions Ltd.,Power,1329.5,929,2026-04-23,-27.0,PE,1060.0,3.76,2539,0.85,98.65,300378.9625,No upcoming events found.,No upcoming events found.,No news found.
ADANIPOWER,Adani Power Ltd.,Power,219.09,154,2026-04-29,-21.0,PE,195.0,0.71,2520,2.01,91.19,125192.525,No upcoming events found.,No upcoming events found.,No news found.
ADANIENSOL,Adani Energy Solutions Ltd.,Power,1329.5,929,2026-04-23,-27.0,PE,1120.0,3.72,2514,0.8,96.97,314365.2125,No upcoming events found.,No upcoming events found.,No news found.
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,1018.9,861,2026-05-19,-1.0,PE,910.0,2.77,2497,2.61,96.57,95677.65,No upcoming events found.,No upcoming events found.,No news found.
ADANIENSOL,Adani Energy Solutions Ltd.,Power,1329.5,929,2026-04-23,-27.0,PE,1180.0,3.69,2489,0.71,93.84,348310.9625,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1377.8,906,2026-04-24,-26.0,PE,1120.0,4.12,2475,1.96,97.11,125991.0,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1377.8,906,2026-04-24,-26.0,PE,1230.0,4.11,2467,1.55,91.41,158985.0,No upcoming events found.,No upcoming events found.,No news found.
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,632.6,512,2026-04-30,-20.0,PE,530.0,2.01,2465,2.39,98.08,103325.4375,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1377.8,906,2026-04-24,-26.0,PE,1110.0,4.09,2452,1.98,97.25,123855.0,No upcoming events found.,No upcoming events found.,No news found.
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,131.49,122,2026-05-20,0.0,CE,148.0,0.4,2429,2.52,93.81,96470.9375,No upcoming events found.,No upcoming events found.,No news found.
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,2725.0,1921,2026-04-30,-20.0,CE,3000.0,7.7,2379,1.88,92.01,126622.48700000001,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1377.8,952,2026-04-24,-26.0,CE,1600.0,3.9,2340,1.79,94.65,130977.0,No upcoming events found.,No upcoming events found.,No news found.
ADANIENSOL,Adani Energy Solutions Ltd.,Power,1329.5,929,2026-04-23,-27.0,PE,1100.0,3.36,2269,0.73,97.66,310294.9625,No upcoming events found.,No upcoming events found.,No news found.
ADANIENSOL,Adani Energy Solutions Ltd.,Power,1329.5,966,2026-04-23,-27.0,CE,1540.0,3.24,2185,0.69,95.06,317470.2125,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1377.8,906,2026-04-24,-26.0,PE,1060.0,3.52,2115,1.87,98.02,113295.0,No upcoming events found.,No upcoming events found.,No news found.
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,2653.6,2398,2026-04-16,-34.0,CE,2940.0,7.05,2115,2.33,96.44,90824.55,No upcoming events found.,No upcoming events found.,No news found.
ADANIENSOL,Adani Energy Solutions Ltd.,Power,1329.5,966,2026-04-23,-27.0,CE,1560.0,3.11,2100,0.67,95.82,312379.9625,No upcoming events found.,No upcoming events found.,No news found.
ADANIPOWER,Adani Power Ltd.,Power,219.09,154,2026-04-29,-21.0,PE,170.0,0.59,2094,2.25,98.45,92923.525,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1377.8,906,2026-04-24,-26.0,PE,1220.0,3.45,2070,1.35,92.66,153321.0,No upcoming events found.,No upcoming events found.,No news found.
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,2653.6,2376,2026-04-16,-34.0,PE,2360.0,6.86,2058,2.16,98.74,95501.55,No upcoming events found.,No upcoming events found.,No news found.
PIDILITIND,Pidilite Industries Ltd.,Chemicals,1455.8,1284,2026-05-07,-13.0,PE,1260.0,4.09,2043,3.2,98.42,63963.5,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1377.8,906,2026-04-24,-26.0,PE,1170.0,3.39,2032,1.47,96.0,137961.0,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1377.8,906,2026-04-24,-26.0,PE,1140.0,3.36,2017,1.55,96.86,130305.0,No upcoming events found.,No upcoming events found.,No news found.
UNIONBANK,Union Bank of India,Financial Services,158.96,186,2026-04-23,-27.0,CE,197.5,0.45,2013,3.27,98.63,61557.338749999995,No upcoming events found.,No upcoming events found.,No news found.
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,819.4,675,2026-05-06,-14.0,PE,700.0,2.35,1997,2.44,97.63,81953.8125,No upcoming events found.,No upcoming events found.,No news found.
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,431.7,438,2026-05-04,-16.0,CE,505.0,1.9,1995,1.85,98.06,108001.1375,No upcoming events found.,No upcoming events found.,No news found.
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,1335.2,1224,2026-05-12,-8.0,CE,1520.0,3.12,1953,2.75,98.54,71057.5,No upcoming events found.,No upcoming events found.,No news found.
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,37130.0,32152,2026-05-20,0.0,CE,41500.0,77.62,1940,2.01,94.34,96626.125,No upcoming events found.,No upcoming events found.,No news found.
SOLARINDS,Solar Industries India Ltd.,Chemicals,18116.0,13318,2026-05-15,-5.0,CE,20000.0,38.74,1936,1.68,93.94,115277.25,No upcoming events found.,No upcoming events found.,No news found.
ADANIPOWER,Adani Power Ltd.,Power,219.09,197,2026-04-29,-21.0,CE,255.0,0.55,1934,1.72,95.06,112625.525,No upcoming events found.,No upcoming events found.,No news found.
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,8026.0,7366,2026-05-20,0.0,PE,7150.0,15.19,1898,1.97,95.18,96342.1875,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1377.8,906,2026-04-24,-26.0,PE,1130.0,3.16,1897,1.48,97.08,128157.0,No upcoming events found.,No upcoming events found.,No news found.
ADANIENSOL,Adani Energy Solutions Ltd.,Power,1329.5,929,2026-04-23,-27.0,PE,1160.0,2.8,1889,0.56,95.43,334823.7125,No upcoming events found.,No upcoming events found.,No news found.
BEL,Bharat Electronics Ltd.,Capital Goods,422.95,436,2026-05-19,-1.0,CE,470.0,1.33,1888,2.67,93.03,70753.175,No upcoming events found.,No upcoming events found.,No news found.
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,514.8,390,2026-04-30,-20.0,PE,430.0,1.68,1884,3.32,98.75,56815.5625,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1377.8,952,2026-04-24,-26.0,CE,1640.0,3.12,1875,1.53,96.67,122649.0,No upcoming events found.,No upcoming events found.,No news found.
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,131.49,96,2026-05-20,0.0,PE,114.0,0.3,1845,1.76,94.71,104650.4375,No upcoming events found.,No upcoming events found.,No news found.
ADANIENSOL,Adani Energy Solutions Ltd.,Power,1329.5,966,2026-04-23,-27.0,CE,1580.0,2.71,1830,0.6,96.39,307284.4625,No upcoming events found.,No upcoming events found.,No news found.
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,286.45,262,2026-05-19,-1.0,PE,230.0,0.93,1826,3.7,98.57,49351.05,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1377.8,906,2026-04-24,-26.0,PE,1180.0,3.04,1822,1.3,95.95,140121.0,No upcoming events found.,No upcoming events found.,No news found.
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,97.22,104,2026-05-14,-6.0,CE,113.0,0.42,1785,3.54,96.79,50396.925,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1377.8,906,2026-04-24,-26.0,PE,1210.0,2.96,1777,1.2,93.74,147681.0,No upcoming events found.,No upcoming events found.,No news found.
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,131.49,122,2026-05-20,0.0,CE,150.0,0.28,1737,1.89,95.09,91919.4375,No upcoming events found.,No upcoming events found.,No news found.
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,286.45,288,2026-05-19,-1.0,CE,320.0,0.88,1728,2.91,93.8,59403.8,No upcoming events found.,No upcoming events found.,No news found.
ADANIENSOL,Adani Energy Solutions Ltd.,Power,1329.5,966,2026-04-23,-27.0,CE,1600.0,2.44,1645,0.54,96.92,302187.7125,No upcoming events found.,No upcoming events found.,No news found.
ADANIPOWER,Adani Power Ltd.,Power,219.09,154,2026-04-29,-21.0,PE,190.0,0.46,1615,1.36,93.98,118767.025,No upcoming events found.,No upcoming events found.,No news found.
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,2422.8,2326,2026-04-30,-20.0,CE,2720.0,7.88,1575,1.88,95.27,83594.1,No upcoming events found.,No upcoming events found.,No news found.
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,1018.9,873,2026-05-19,-1.0,CE,1140.0,1.74,1563,2.1,95.44,74302.65,No upcoming events found.,No upcoming events found.,No news found.
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,286.45,288,2026-05-19,-1.0,CE,325.0,0.79,1555,2.8,94.81,55572.8,No upcoming events found.,No upcoming events found.,No news found.
BEL,Bharat Electronics Ltd.,Capital Goods,422.95,436,2026-05-19,-1.0,CE,475.0,1.09,1549,2.28,94.45,67902.675,No upcoming events found.,No upcoming events found.,No news found.
SOLARINDS,Solar Industries India Ltd.,Chemicals,18116.0,13291,2026-05-15,-5.0,PE,16250.0,30.81,1540,1.27,93.83,121051.25,No upcoming events found.,No upcoming events found.,No news found.
ABB,ABB India Ltd.,Capital Goods,6329.0,6184,2026-05-08,-12.0,PE,5650.0,12.26,1532,1.68,96.3,91280.8125,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1377.8,906,2026-04-24,-26.0,PE,1200.0,2.55,1530,1.06,94.52,144471.0,No upcoming events found.,No upcoming events found.,No news found.
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,1285.2,1126,2026-05-14,-6.0,PE,1040.0,2.24,1510,0.8,100.0,188236.15,No upcoming events found.,No upcoming events found.,No news found.
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,97.22,104,2026-05-14,-6.0,CE,117.0,0.35,1508,3.38,98.2,44702.425,No upcoming events found.,No upcoming events found.,No news found.
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,131.49,96,2026-05-20,0.0,PE,115.0,0.24,1506,1.38,93.93,108831.9375,No upcoming events found.,No upcoming events found.,No news found.
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,1335.2,1211,2026-05-12,-8.0,PE,1110.0,2.4,1500,2.37,99.04,63207.25,No upcoming events found.,No upcoming events found.,No news found.
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,1304.9,1212,2026-05-14,-6.0,PE,1170.0,3.7,1480,2.94,97.59,50391.8,No upcoming events found.,No upcoming events found.,No news found.
SIEMENS,Siemens Ltd.,Capital Goods,3550.9,3040,,,PE,3150.0,8.38,1465,1.88,95.69,78142.7375,No upcoming events found.,No upcoming events found.,No news found.
ADANIPOWER,Adani Power Ltd.,Power,219.09,197,2026-04-29,-21.0,CE,265.0,0.41,1464,1.5,96.98,97928.525,No upcoming events found.,No upcoming events found.,No news found.
ADANIGREEN,Adani Green Energy Ltd.,Power,1377.8,906,2026-04-24,-26.0,PE,1190.0,2.43,1455,1.02,95.25,142353.0,No upcoming events found.,No upcoming events found.,No news found.
ADANIPOWER,Adani Power Ltd.,Power,219.09,197,2026-04-29,-21.0,CE,260.0,0.4,1428,1.35,96.28,105845.525,No upcoming events found.,No upcoming events found.,No news found.
PIDILITIND,Pidilite Industries Ltd.,Chemicals,1455.8,1284,2026-05-07,-13.0,PE,1280.0,2.84,1418,2.1,97.69,67458.5,No upcoming events found.,No upcoming events found.,No news found.
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,819.4,706,2026-05-06,-14.0,CE,980.0,1.66,1413,2.23,98.78,63296.8125,No upcoming events found.,No upcoming events found.,No news found.
INDIGO,InterGlobe Aviation Ltd.,Services,4230.3,4180,,,PE,3800.0,9.39,1408,1.79,93.85,78725.925,No upcoming events found.,No upcoming events found.,No news found.
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,37130.0,32152,2026-05-20,0.0,CE,42000.0,56.24,1405,1.53,95.57,91784.375,No upcoming events found.,No upcoming events found.,No news found.
SIEMENS,Siemens Ltd.,Capital Goods,3550.9,3061,,,CE,4050.0,7.99,1397,1.98,95.81,70696.4875,No upcoming events found.,No upcoming events found.,No news found.
LODHA,Lodha Developers Ltd.,Realty,892.2,725,2026-04-24,-26.0,CE,1010.0,3.1,1395,2.93,97.39,47565.5625,No upcoming events found.,No upcoming events found.,No news found.
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,1322.7,1297,2026-04-24,-26.0,PE,1190.0,2.78,1387,2.17,96.56,64053.25,No upcoming events found.,No upcoming events found.,No news found.
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,923.55,839,2026-04-29,-21.0,PE,790.0,1.84,1378,2.1,98.34,65549.375,No upcoming events found.,No upcoming events found.,No news found.
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,2422.8,2326,2026-04-30,-20.0,CE,2880.0,6.86,1372,1.94,97.34,70742.1,No upcoming events found.,No upcoming events found.,No news found.
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,514.8,417,2026-04-30,-20.0,CE,575.0,1.21,1364,2.12,98.39,64487.5625,No upcoming events found.,No upcoming events found.,No news found.
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,1335.2,1211,2026-05-12,-8.0,PE,1070.0,2.17,1359,2.5,99.58,54470.25,No upcoming events found.,No upcoming events found.,No news found.
ABB,ABB India Ltd.,Capital Goods,6329.0,6184,2026-05-08,-12.0,PE,5300.0,10.85,1356,1.79,99.26,75863.3125,No upcoming events found.,No upcoming events found.,No news found.
JIOFIN,Jio Financial Services Ltd.,Financial Services,233.28,239,2026-04-17,-33.0,CE,257.5,0.58,1351,0.92,94.1,146537.89250000002,No upcoming events found.,No upcoming events found.,No news found.
ETERNAL,Eternal Ltd.,Consumer Services,247.21,217,2026-04-28,-22.0,PE,212.5,0.56,1345,1.71,98.01,78907.075,No upcoming events found.,No upcoming events found.,No news found.
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,1304.9,1212,2026-05-14,-6.0,PE,1100.0,3.35,1340,3.32,99.36,40391.8,No upcoming events found.,No upcoming events found.,No news found.
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,514.8,390,2026-04-30,-20.0,PE,420.0,1.17,1321,2.5,99.05,52877.5625,No upcoming events found.,No upcoming events found.,No news found.
JIOFIN,Jio Financial Services Ltd.,Financial Services,233.28,239,2026-04-17,-33.0,CE,277.5,0.56,1316,1.02,97.61,129265.3925,No upcoming events found.,No upcoming events found.,No news found.
TECHM,Tech Mahindra Ltd.,Information Technology,1467.1,1436,2026-04-22,-28.0,PE,1220.0,2.19,1312,1.78,98.67,73782.0,No upcoming events found.,No upcoming events found.,No news found.
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,2653.6,2398,2026-04-16,-34.0,CE,2920.0,4.38,1312,1.41,97.08,93026.55,No upcoming events found.,No upcoming events found.,No news found.
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,1335.2,1211,2026-05-12,-8.0,PE,1120.0,2.09,1304,2.0,99.16,65395.25,No upcoming events found.,No upcoming events found.,No news found.
CANBK,Canara Bank,Financial Services,126.15,143,2026-05-11,-9.0,CE,139.0,0.19,1299,1.3,95.8,99573.125,No upcoming events found.,No upcoming events found.,No news found.
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,3303.6,3304,2026-05-14,-6.0,CE,3650.0,4.67,1285,1.04,95.27,123731.6625,No upcoming events found.,No upcoming events found.,No news found.
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,1881.4,1843,2026-04-22,-28.0,CE,2180.0,3.42,1284,2.46,99.59,52145.5,No upcoming events found.,No upcoming events found.,No news found.
RECLTD,REC Ltd.,Financial Services,334.25,338,2026-04-28,-22.0,CE,415.0,0.91,1277,3.38,99.19,37799.3,No upcoming events found.,No upcoming events found.,No news found.
BEL,Bharat Electronics Ltd.,Capital Goods,422.95,436,2026-05-19,-1.0,CE,480.0,0.88,1246,1.92,95.28,65024.175,No upcoming events found.,No upcoming events found.,No news found.
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,1431.4,1208,2026-04-21,-29.0,PE,1280.0,2.49,1243,1.79,98.11,69449.75,No upcoming events found.,No upcoming events found.,No news found.
ABB,ABB India Ltd.,Capital Goods,6329.0,6210,2026-05-08,-12.0,CE,7050.0,9.94,1242,1.27,96.31,98157.5625,No upcoming events found.,No upcoming events found.,No news found.
ADANIPOWER,Adani Power Ltd.,Power,219.09,154,2026-04-29,-21.0,PE,150.0,0.35,1233,1.51,98.56,81732.5375,No upcoming events found.,No upcoming events found.,No news found.
BEL,Bharat Electronics Ltd.,Capital Goods,422.95,418,2026-05-19,-1.0,PE,380.0,0.86,1229,1.83,92.46,67261.675,No upcoming events found.,No upcoming events found.,No news found.
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,2422.8,2326,2026-04-30,-20.0,CE,2680.0,6.11,1222,1.35,93.56,90336.1,No upcoming events found.,No upcoming events found.,No news found.
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,2422.8,2303,2026-04-30,-20.0,PE,2120.0,6.11,1222,1.57,95.41,78022.1,No upcoming events found.,No upcoming events found.,No news found.
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,3303.6,3278,2026-05-14,-6.0,PE,2950.0,4.44,1220,0.98,95.18,124913.4125,No upcoming events found.,No upcoming events found.,No news found.
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,8026.0,7380,2026-05-20,0.0,CE,8900.0,9.69,1210,1.24,96.21,97688.6875,No upcoming events found.,No upcoming events found.,No news found.
SOLARINDS,Solar Industries India Ltd.,Chemicals,18116.0,13291,2026-05-15,-5.0,PE,16000.0,23.82,1191,1.02,95.06,116262.75,No upcoming events found.,No upcoming events found.,No news found.
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,927.35,946,2026-04-24,-26.0,CE,1080.0,1.44,1185,1.28,97.8,92977.3375,No upcoming events found.,No upcoming events found.,No news found.
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,514.8,417,2026-04-30,-20.0,CE,570.0,1.05,1181,1.77,97.35,66569.3125,No upcoming events found.,No upcoming events found.,No news found.
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,1304.9,1227,2026-05-14,-6.0,CE,1470.0,2.92,1170,2.35,97.57,49723.8,No upcoming events found.,No upcoming events found.,No news found.
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,2725.0,1889,2026-04-30,-20.0,PE,2420.0,3.77,1166,0.9,96.25,129030.53700000001,No upcoming events found.,No upcoming events found.,No news found.
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,2725.0,1889,2026-04-30,-20.0,PE,2440.0,3.78,1166,0.87,94.88,134527.137,No upcoming events found.,No upcoming events found.,No news found.
SOLARINDS,Solar Industries India Ltd.,Chemicals,18116.0,13291,2026-05-15,-5.0,PE,15750.0,23.25,1162,1.04,95.47,111608.75,No upcoming events found.,No upcoming events found.,No news found.
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,286.45,262,2026-05-19,-1.0,PE,255.0,0.59,1160,1.71,94.21,67817.55,No upcoming events found.,No upcoming events found.,No news found.
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,1762.8,1377,2026-04-30,-20.0,PE,1460.0,2.44,1157,1.42,98.02,81315.0125,No upcoming events found.,No upcoming events found.,No news found.
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,1018.9,873,2026-05-19,-1.0,CE,1160.0,1.27,1147,1.71,96.78,67138.65,No upcoming events found.,No upcoming events found.,No news found.
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,1762.8,1377,2026-04-30,-20.0,PE,1420.0,2.4,1140,1.54,98.82,74266.2625,No upcoming events found.,No upcoming events found.,No news found.
JIOFIN,Jio Financial Services Ltd.,Financial Services,233.28,239,2026-04-17,-33.0,CE,285.0,0.48,1133,0.92,98.22,123696.3925,No upcoming events found.,No upcoming events found.,No news found.
